experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
Senior,Full-time,ES,Full-Remote,ES,LARGE,Other,292.997,1
Mid/Intermediate level,Contractor,US,Full-Remote,US,SMALL,Machine Learning,173.205,0
Mid/Intermediate level,Contractor,US,Full-Remote,US,SMALL,Machine Learning,159.687,0
Senior,Full-time,CA,Full-Remote,CA,MEDIUM,Data Science,418.33,2
Senior,Full-time,CA,Full-Remote,CA,MEDIUM,Data Science,346.41,2
Senior,Full-time,US,On-Site,US,LARGE,Data Science,471.381,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,368.782,0
Senior,Full-time,CA,On-Site,CA,MEDIUM,Data Science,467.974,2
Senior,Full-time,CA,On-Site,CA,MEDIUM,Data Science,375.5,2
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,383.536,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,301.164,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,360.555,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,316.228,0
Entry level,Full-time,US,On-Site,US,LARGE,Data Science,462.234,0
Entry level,Full-time,US,On-Site,US,LARGE,Data Science,361.608,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,383.536,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,301.164,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,412.311,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,387.298,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,387.298,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,331.662,0
Senior,Full-time,DE,On-Site,DE,MEDIUM,Other,524.404,2
Senior,Full-time,DE,On-Site,DE,MEDIUM,Other,417.133,2
Senior,Full-time,GB,Full-Remote,GB,MEDIUM,Data Engineering,479.583,1
Senior,Full-time,GB,Full-Remote,GB,MEDIUM,Data Engineering,378.418,1
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,474.342,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,395.474,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,447.214,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,360.555,0
Senior,Full-time,CA,On-Site,CA,MEDIUM,Other,300.0,2
Senior,Full-time,CA,On-Site,CA,MEDIUM,Other,268.328,2
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,503.19,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,301.164,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,585.5,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,429.639,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,403.113,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,360.555,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,324.623,0
Mid/Intermediate level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,253.969,0
Entry level,Full-time,NG,Full-Remote,NG,LARGE,Other,316.228,0
Entry level,Full-time,NG,Full-Remote,NG,LARGE,Other,173.205,0
Mid/Intermediate level,Full-time,IN,Half-Remote,IN,LARGE,Machine Learning,144.859,1
Entry level,Full-time,US,On-Site,US,LARGE,Data Science,452.349,0
Entry level,Full-time,US,On-Site,US,LARGE,Data Science,332.686,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,520.291,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,470.621,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,461.248,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,430.116,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,511.859,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,494.975,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,524.69,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,428.369,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,467.44,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,446.204,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,450.888,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,351.568,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,434.868,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,372.827,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Science,508.675,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Science,430.116,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,481.144,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,407.431,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,415.331,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,332.415,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,487.852,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,419.524,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,486.826,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,448.832,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,556.237,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,398.873,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,339.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,285.482,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,486.826,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,448.832,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,529.15,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,458.258,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Architecture,529.245,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Architecture,410.0,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,439.886,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,372.827,0
Mid/Intermediate level,Full-time,HK,On-Site,HK,LARGE,Data Science,255.073,1
Senior,Full-time,PT,Full-Remote,US,MEDIUM,Machine Learning,387.298,0
Mid/Intermediate level,Full-time,IN,Full-Remote,DE,SMALL,Other,264.104,1
Entry level,Full-time,IN,Half-Remote,IN,LARGE,Other,547.723,1
Mid/Intermediate level,Full-time,NL,Full-Remote,NL,LARGE,Machine Learning,310.77,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,431.161,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,359.583,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,474.342,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,418.33,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,430.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,374.166,0
Senior,Full-time,ES,On-Site,ES,MEDIUM,Data Science,219.748,1
Senior,Full-time,ES,On-Site,ES,MEDIUM,Data Science,196.548,1
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,324.037,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,264.575,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Machine Learning,403.975,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Machine Learning,381.949,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,465.833,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,430.116,0
Senior,Full-time,US,On-Site,US,LARGE,Data Engineering,450.333,0
Senior,Full-time,US,On-Site,US,LARGE,Data Engineering,322.955,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,254.951,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,406.202,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,363.731,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,423.285,0
