experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
3,2,5,0,5,0,5,292.997,1
2,0,7,0,7,2,3,173.205,0
2,0,7,0,7,2,3,159.687,0
3,2,0,0,0,1,2,418.33,2
3,2,0,0,0,1,2,346.41,2
3,2,7,2,7,0,2,471.381,0
3,2,7,2,7,0,2,368.782,0
3,2,0,2,0,1,2,467.974,2
3,2,0,2,0,1,2,375.5,2
3,2,7,2,7,1,2,383.536,0
3,2,7,2,7,1,2,301.164,0
3,2,7,0,7,1,1,360.555,0
3,2,7,0,7,1,1,316.228,0
0,2,7,2,7,0,2,462.234,0
0,2,7,2,7,0,2,361.608,0
3,2,7,2,7,1,5,383.536,0
3,2,7,2,7,1,5,301.164,0
3,2,7,2,7,1,2,412.311,0
3,2,7,2,7,1,2,387.298,0
2,2,7,0,7,1,1,387.298,0
2,2,7,0,7,1,1,331.662,0
3,2,2,2,2,1,5,524.404,2
3,2,2,2,2,1,5,417.133,2
3,2,6,0,6,1,1,479.583,1
3,2,6,0,6,1,1,378.418,1
3,2,7,2,7,1,1,474.342,0
3,2,7,2,7,1,1,395.474,0
3,2,7,2,7,1,3,447.214,0
3,2,7,2,7,1,3,360.555,0
3,2,0,2,0,1,5,300.0,2
3,2,0,2,0,1,5,268.328,2
3,2,7,2,7,1,1,503.19,0
3,2,7,2,7,1,1,301.164,0
3,2,7,2,7,1,5,585.5,0
3,2,7,2,7,1,5,429.639,0
2,2,7,2,7,1,1,403.113,0
2,2,7,2,7,1,1,360.555,0
2,2,7,2,7,1,1,324.623,0
2,2,7,2,7,1,1,253.969,0
0,2,4,0,4,0,5,316.228,0
0,2,4,0,4,0,5,173.205,0
2,2,3,1,3,0,3,144.859,1
0,2,7,2,7,0,2,452.349,0
0,2,7,2,7,0,2,332.686,0
3,2,7,2,7,1,1,520.291,0
3,2,7,2,7,1,1,470.621,0
3,2,7,0,7,1,2,461.248,0
3,2,7,0,7,1,2,430.116,0
3,2,7,0,7,1,2,511.859,0
3,2,7,0,7,1,2,494.975,0
3,2,7,0,7,1,2,524.69,0
3,2,7,0,7,1,2,428.369,0
3,2,7,0,7,1,2,467.44,0
3,2,7,0,7,1,2,446.204,0
3,2,7,0,7,1,1,450.888,0
3,2,7,0,7,1,1,351.568,0
3,2,7,2,7,1,5,434.868,0
3,2,7,2,7,1,5,372.827,0
1,2,7,2,7,1,2,508.675,0
1,2,7,2,7,1,2,430.116,0
3,2,7,0,7,1,1,481.144,0
3,2,7,0,7,1,1,407.431,0
3,2,7,0,7,1,2,415.331,0
3,2,7,0,7,1,2,332.415,0
3,2,7,2,7,1,1,487.852,0
3,2,7,2,7,1,1,419.524,0
3,2,7,0,7,1,1,486.826,0
3,2,7,0,7,1,1,448.832,0
3,2,7,2,7,0,2,556.237,0
3,2,7,2,7,0,2,398.873,0
3,2,7,2,7,1,1,339.116,0
3,2,7,2,7,1,1,285.482,0
3,2,7,0,7,1,2,486.826,0
3,2,7,0,7,1,2,448.832,0
3,2,7,2,7,1,5,529.15,0
3,2,7,2,7,1,5,458.258,0
3,2,7,0,7,1,0,529.245,0
3,2,7,0,7,1,0,410.0,0
3,2,7,0,7,1,1,439.886,0
3,2,7,0,7,1,1,372.827,0
2,2,4,2,4,0,2,255.073,1
3,2,4,0,7,1,3,387.298,0
2,2,3,0,2,2,5,264.104,1
0,2,3,1,3,0,5,547.723,1
2,2,4,0,4,0,3,310.77,0
3,2,7,2,7,1,1,431.161,0
3,2,7,2,7,1,1,359.583,0
3,2,7,0,7,1,1,474.342,0
3,2,7,0,7,1,1,418.33,0
3,2,7,2,7,1,1,430.116,0
3,2,7,2,7,1,1,374.166,0
3,2,5,2,5,1,2,219.748,1
3,2,5,2,5,1,2,196.548,1
3,2,7,2,7,1,2,324.037,0
3,2,7,2,7,1,2,264.575,0
0,2,7,2,7,1,3,403.975,0
0,2,7,2,7,1,3,381.949,0
3,2,7,0,7,1,1,465.833,0
3,2,7,0,7,1,1,430.116,0
3,2,7,2,7,0,1,450.333,0
3,2,7,2,7,0,1,322.955,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,254.951,0
3,2,7,2,7,1,1,406.202,0
3,2,7,2,7,1,1,363.731,0
3,2,7,2,7,1,1,423.285,0
3,2,7,2,7,1,1,307.083,0
3,2,7,2,7,1,1,390.512,0
3,2,7,2,7,1,1,341.248,0
3,2,7,2,7,1,1,497.293,0
3,2,7,2,7,1,1,365.787,0
3,2,7,2,7,1,5,450.555,0
3,2,7,2,7,1,5,364.692,0
0,2,7,1,7,0,2,469.042,0
0,2,4,0,4,2,3,237.773,2
3,2,7,2,7,1,2,387.298,0
3,2,7,2,7,1,2,346.41,0
3,2,7,2,7,1,1,538.331,0
3,2,7,2,7,1,1,462.601,0
3,2,7,2,7,1,1,424.052,0
3,2,7,2,7,1,1,379.289,0
3,2,7,0,7,1,3,532.165,0
3,2,7,0,7,1,3,434.511,0
3,2,7,2,7,1,1,538.331,0
3,2,7,2,7,1,1,462.817,0
3,2,7,2,7,1,1,431.161,0
3,2,7,2,7,1,1,359.583,0
3,2,7,2,7,1,1,501.996,0
3,2,7,2,7,1,1,359.166,0
2,2,7,2,7,1,4,393.7,0
2,2,7,2,7,1,4,374.166,0
3,2,7,0,7,1,1,402.244,0
3,2,7,0,7,1,1,376.298,0
3,2,7,2,7,0,3,585.064,0
3,2,7,2,7,0,3,419.643,0
2,2,7,0,7,1,1,316.228,0
2,2,7,0,7,1,1,264.575,0
0,2,7,2,7,1,1,291.548,0
0,2,7,2,7,1,1,254.951,0
3,2,7,0,7,1,2,372.537,0
3,2,7,0,7,1,2,288.565,0
0,2,7,2,7,1,1,273.861,0
0,2,7,2,7,1,1,264.575,0
3,2,7,2,7,1,1,452.217,0
3,2,7,2,7,1,1,372.693,0
3,2,7,0,7,1,3,564.181,0
3,2,7,0,7,1,3,460.652,0
3,2,7,0,7,1,1,308.221,0
3,2,7,0,7,1,1,273.861,0
3,2,7,2,7,1,2,441.588,0
3,2,7,2,7,1,2,400.0,0
3,2,7,2,7,1,1,479.583,0
3,2,7,2,7,1,1,378.418,0
2,2,7,0,7,1,1,316.228,0
2,2,7,0,7,1,1,264.575,0
2,2,7,1,7,0,1,324.037,0
2,2,3,0,3,0,5,143.771,1
2,2,6,2,6,1,1,214.891,1
2,2,6,2,6,1,1,206.235,1
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,339.116,0
3,2,7,2,7,1,1,410.366,0
3,2,7,2,7,1,1,324.345,0
3,2,7,2,7,0,2,556.237,0
3,2,7,2,7,0,2,398.873,0
3,2,7,2,7,1,3,435.89,0
3,2,7,2,7,1,3,387.298,0
2,2,7,2,7,1,1,403.113,0
2,2,7,2,7,1,1,360.555,0
3,2,7,0,7,1,1,387.298,0
3,2,7,0,7,1,1,346.41,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,346.41,0
3,2,7,2,7,0,2,471.381,0
3,2,7,2,7,0,2,368.782,0
3,2,4,0,4,1,1,233.848,2
3,2,4,0,4,1,1,206.235,2
3,2,7,2,7,1,1,490.918,0
3,2,7,2,7,1,1,393.7,0
3,2,7,0,7,1,1,469.042,0
3,2,7,0,7,1,1,435.89,0
2,2,6,2,6,1,2,258.529,1
2,2,6,2,6,1,2,233.848,1
1,2,4,2,0,1,5,122.474,1
2,2,6,0,6,1,5,291.661,1
2,2,6,0,6,1,5,240.256,1
0,2,7,0,7,1,1,291.548,0
0,2,7,0,7,1,1,273.861,0
3,2,7,2,7,1,1,400.0,0
3,2,7,2,7,1,1,374.166,0
2,2,7,2,7,1,3,547.723,0
2,2,7,2,7,1,3,500.0,0
3,2,7,2,7,1,2,477.493,0
3,2,7,2,7,1,2,431.277,0
3,2,7,2,7,1,2,435.89,0
3,2,7,2,7,1,2,412.311,0
2,2,7,2,7,1,5,479.583,0
2,2,7,2,7,1,5,447.214,0
3,2,7,0,7,1,0,424.264,0
3,2,7,0,7,1,0,339.116,0
3,2,7,0,7,1,0,447.214,0
3,2,7,0,7,1,0,339.116,0
3,2,1,1,1,2,5,231.633,1
1,2,7,2,7,1,1,469.042,0
1,2,7,2,7,1,1,452.769,0
2,2,7,2,7,1,1,424.264,0
2,2,7,2,7,1,1,360.555,0
3,2,7,0,7,1,1,447.214,0
3,2,7,0,7,1,1,387.298,0
3,2,7,2,7,1,5,463.681,0
3,2,7,2,7,1,5,412.311,0
3,2,7,2,7,1,3,497.494,0
3,2,7,2,7,1,3,414.97,0
3,2,0,2,0,1,2,473.286,2
3,2,0,2,0,1,2,419.524,2
3,2,7,0,7,1,1,346.41,0
3,2,7,0,7,1,1,273.861,0
0,2,3,0,3,0,1,130.468,1
3,2,4,0,4,1,5,261.377,2
2,2,4,2,4,1,5,273.898,1
3,2,7,2,7,1,1,374.166,0
3,2,7,2,7,1,1,346.41,0
3,2,7,2,7,1,1,357.771,0
3,2,7,2,7,1,1,285.482,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,339.116,0
3,2,7,2,7,1,1,430.116,0
3,2,7,2,7,1,1,374.166,0
1,2,7,2,7,1,5,574.021,0
1,2,7,2,7,1,5,519.23,0
3,2,7,2,7,1,5,316.228,0
3,2,7,2,7,1,5,282.843,0
3,2,7,2,7,1,2,500.0,0
3,2,7,2,7,1,2,403.113,0
2,2,7,0,7,1,5,447.214,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,316.228,0
1,2,7,2,7,1,1,380.789,0
1,2,7,2,7,1,1,339.116,0
3,2,7,2,7,1,2,451.11,0
3,2,7,2,7,1,2,389.872,0
3,2,7,2,7,0,2,488.876,0
3,2,7,2,7,0,2,350.571,0
3,2,7,2,7,1,2,486.826,0
3,2,7,2,7,1,2,380.789,0
3,2,7,2,7,1,4,437.91,0
3,2,7,2,7,1,4,366.382,0
3,2,7,0,7,1,1,435.89,0
3,2,7,0,7,1,1,334.664,0
3,2,5,0,6,0,2,297.079,1
0,2,7,2,7,1,1,291.548,0
0,2,7,2,7,1,1,254.951,0
3,2,7,2,7,1,1,367.423,0
3,2,7,2,7,1,1,324.808,0
3,2,7,2,7,1,5,541.295,0
3,2,7,2,7,1,5,430.116,0
3,2,7,2,7,1,1,282.843,0
3,2,7,2,7,1,1,264.575,0
3,2,7,0,7,1,1,469.042,0
3,2,7,0,7,1,1,400.0,0
3,2,7,0,7,1,2,418.33,0
3,2,7,0,7,1,2,380.789,0
3,2,7,2,7,1,1,447.214,0
3,2,7,2,7,1,1,385.357,0
3,2,5,2,5,1,2,219.748,1
3,2,5,2,5,1,2,196.548,1
3,2,7,2,7,0,1,490.408,0
3,2,7,2,7,0,1,351.71,0
3,2,7,0,7,1,1,391.024,0
3,2,7,0,7,1,1,342.199,0
3,2,7,0,7,1,1,415.933,0
3,2,7,0,7,1,1,336.155,0
3,2,7,2,7,0,2,509.902,0
3,2,7,2,7,0,2,368.782,0
1,2,7,2,7,1,1,418.33,0
1,2,7,2,7,1,1,331.662,0
3,2,7,2,7,0,2,509.902,0
3,2,7,2,7,0,2,368.782,0
3,2,7,0,7,1,2,360.555,0
3,2,7,0,7,1,2,331.662,0
3,2,7,0,7,1,2,452.769,0
3,2,7,0,7,1,2,428.952,0
3,2,7,0,7,1,1,386.652,0
3,2,7,0,7,1,1,356.476,0
3,2,7,2,7,1,2,441.588,0
3,2,7,2,7,1,2,400.0,0
3,2,7,0,7,1,1,468.546,0
3,2,7,0,7,1,1,382.25,0
3,2,7,2,7,1,2,412.311,0
3,2,7,2,7,1,2,367.423,0
3,2,7,0,7,1,2,418.33,0
3,2,7,0,7,1,2,380.789,0
3,2,7,2,7,1,2,446.094,0
3,2,7,2,7,1,2,402.492,0
3,2,7,2,7,0,2,471.381,0
3,2,7,2,7,0,2,368.782,0
1,2,7,0,7,1,1,470.106,0
1,2,7,0,7,1,1,391.152,0
3,2,7,2,7,1,1,432.435,0
3,2,7,2,7,1,1,357.771,0
3,2,7,2,7,1,2,458.258,0
3,2,7,2,7,1,2,368.782,0
3,2,7,0,7,1,2,418.33,0
3,2,7,0,7,1,2,316.228,0
3,2,7,2,7,1,1,423.084,0
3,2,7,2,7,1,1,330.151,0
3,2,7,2,7,1,2,494.975,0
3,2,7,2,7,1,2,424.264,0
3,2,7,0,7,1,1,376.829,0
3,2,7,0,7,1,1,273.861,0
3,2,7,2,7,1,5,445.87,0
3,2,7,2,7,1,5,324.345,0
3,2,7,0,7,1,1,353.553,0
3,2,7,0,7,1,1,334.664,0
3,2,7,2,7,1,2,458.258,0
3,2,7,2,7,1,2,393.7,0
3,2,7,0,7,1,5,339.116,0
3,2,7,0,7,1,5,293.258,0
3,2,7,2,7,1,2,406.202,0
3,2,7,2,7,1,2,374.166,0
3,2,7,2,7,1,1,372.827,0
3,2,7,2,7,1,1,325.576,0
0,2,0,2,0,0,1,201.651,2
3,2,0,2,0,2,5,524.404,2
3,1,4,1,4,2,5,223.607,0
2,2,7,0,7,1,3,529.811,0
2,2,7,0,7,1,3,387.879,0
0,2,0,0,0,0,2,227.493,2
3,2,7,2,7,1,0,500.5,0
3,2,7,2,7,1,0,399.375,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,339.116,0
3,2,7,2,7,1,1,374.166,0
3,2,7,2,7,1,1,346.41,0
0,2,7,0,7,1,2,360.557,0
0,2,7,0,7,1,2,268.155,0
2,2,7,0,7,1,2,306.46,0
2,2,7,0,7,1,2,227.952,0
3,2,0,0,0,1,1,418.33,2
3,2,0,0,0,1,1,367.423,2
